No;% accepted last year;% immediately rejected last year;Articles published last year;Average number of review reports;Average number of review rounds;Decision time immediate rejection;Difficulty of reviewer comments;Duration first review;Five-year impact factor;Issues per year;Journal link;Kind of complaint procedure;Manuscript handling fee?;Manuscripts received last year;Open access status;Overall rating manuscript handlingOverall rating manuscript handling;Quality of review reports;Total handling time accepted manuscripts;Two-year impact factor
36.0;['n/a'];['n/a'];['n/a'];2.0;3.0;;4.0;0.5 mnths;['n/a'];['n/a'];https://scirev.org/journal/medical-microbiology-and-immunology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;0.7 mnths;['n/a']
37.0;['n/a'];['n/a'];['n/a'];;;2 days;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-neuroimmunology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
38.0;['n/a'];['n/a'];['n/a'];3.0;2.0;;1.0;3.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-infectious-diseases/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;3.7 mnths;['n/a']
39.0;['n/a'];['n/a'];['n/a'];2.0;2.0;;1.0;0.8 mnths;['n/a'];['n/a'];https://scirev.org/journal/immunology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;0.8 mnths;['n/a']
40.0;['n/a'];['n/a'];['n/a'];5.0;3.0;;5.0;1.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-allergy-and-clinical-immunology-in-practice/;['n/a'];['n/a'];['n/a'];['n/a'];1.0 ;2.0;2.6 mnths;['n/a']
41.0;['n/a'];['n/a'];['n/a'];2.0;3.0;;3.0;3.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/autophagy/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;5.0;4.3 mnths;['n/a']
42.0;['n/a'];['n/a'];['n/a'];2.0;2.0;;3.0;0.7 mnths;['n/a'];['n/a'];https://scirev.org/journal/therapeutic-advances-in-infectious-diseases/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;0.7 mnths;['n/a']
43.0;['n/a'];['n/a'];['n/a'];1.0;2.0;;2.0;1.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/clinical-and-experimental-immunology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;5.0;1.0 mnths;['n/a']
44.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-immunopathology-and-pharmacology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
45.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/clinical-reviews-in-allergy-and-immunology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
46.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/trends-in-immunology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
47.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/aerobiologia/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
48.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/fems-immunology-and-medical-microbiology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
49.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/asian-pacific-journal-of-allergy-and-immunology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
0.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/control-engineering-practice/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
1.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-electromagnetic-compatibility/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
2.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/lighting-research-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
3.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-journal-of-solid-state-circuits/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
4.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/integrated-ferroelectrics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
5.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/solid-state-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
6.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-medical-imaging/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
7.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/nano-communication-networks/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
8.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-signal-processing-letters/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
9.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-imaging-systems-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
10.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/wireless-networks/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
11.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-micro-nano-mechatronics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
12.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/frequenz/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
13.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-very-large-scale-integration-systems/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
14.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/optoelectronics-letters/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
15.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/radioelectronics-and-communications-systems/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
16.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/chinese-optics-letters/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
17.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/kybernetika/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
18.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-industry-applications-magazine/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
19.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/iet-power-electronics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
20.0;['n/a'];['n/a'];['n/a'];3.0;2.0;;3.0;3.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-adaptive-control-and-signal-processing/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;6.0 mnths;['n/a']
21.0;['n/a'];['n/a'];['n/a'];3.0;3.0;;4.0;2.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-antennas-and-propagation/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;5.0;6.2 mnths;['n/a']
22.0;['n/a'];['n/a'];['n/a'];3.0;2.0;;2.0;6.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-nuclear-science/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;3.0;9.0 mnths;['n/a']
23.0;['n/a'];['n/a'];['n/a'];0.0;1.0;;;8.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/wireless-personal-communications/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;;8.0 mnths;['n/a']
24.0;['n/a'];['n/a'];['n/a'];;;7 days;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-wireless-communications/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
25.0;['n/a'];['n/a'];['n/a'];2.0;2.0;;3.0;2.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-visual-communication-and-image-representation/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;2.1 mnths;['n/a']
26.0;['n/a'];['n/a'];['n/a'];4.0;1.0;;;1.6 mnths;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-communications/;['n/a'];['n/a'];['n/a'];['n/a'];2.0 ;2.0;1.6 mnths;['n/a']
27.0;['n/a'];['n/a'];['n/a'];1.0;;;;0.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/polymer-reviews/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;5.0;0.2 mnths;['n/a']
28.0;['n/a'];['n/a'];['92'];3.0;2.0;;5.0;3.3 mnths;[];['6'];https://scirev.org/journal/defence-science-journal/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;3.0;3.8 mnths;['0.42']
29.0;['n/a'];['n/a'];['n/a'];0.0;1.0;;;2.1 mnths;['n/a'];['n/a'];https://scirev.org/journal/electronics-letters/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;;2.1 mnths;['n/a']
30.0;['n/a'];['n/a'];['n/a'];0.0;1.0;;;5.4 mnths;['n/a'];['n/a'];https://scirev.org/journal/iete-journal-of-research/;['n/a'];['n/a'];['n/a'];['n/a'];1.0 ;;5.4 mnths;['n/a']
31.0;['n/a'];['n/a'];['n/a'];4.0;1.0;;;3.9 mnths;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-mobile-computing/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;5.0;3.9 mnths;['n/a']
32.0;['n/a'];['n/a'];['n/a'];2.0;2.0;;4.0;4.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/photonic-network-communications/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;5.1 mnths;['n/a']
33.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-microwave-and-wireless-components-letters/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
34.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-electronic-testing/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
35.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/semiconductor-science-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
36.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-energy-conversion/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
37.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/eurasip-journal-on-advances-in-signal-processing/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
38.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-applied-electromagnetics-and-mechanics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
39.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-automatic-control/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
40.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/acm-journal-on-emerging-technologies-in-computing-systems/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
41.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-systems-engineering-and-electronics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
42.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/superconductor-science-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
43.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-power-electronics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
44.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-communications-magazine/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
45.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/power-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
46.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-rf-technologies-research-and-applications/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
47.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/proceedings-of-the-ieee/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
48.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-automation-science-and-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
49.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/diamond-and-related-materials/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
0.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/metamaterials/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
1.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-e-health-and-medical-communications/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
2.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieice-transactions-on-information-and-systems/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
3.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-computational-electronics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
4.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/real-time-systems/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
5.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/electronics-world/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
6.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-systems-journal/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
7.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-optical-and-fiber-communication-research/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
8.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/smpte-motion-imaging-journal/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
9.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-aerospace-and-electronic-systems-magazine/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
10.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/photonics-and-nanostructures-fundamentals-and-applications/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
11.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-mobile-communications/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
12.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/connector-specifier/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
13.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/lasers-in-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
14.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transaction-on-systems,-man,-and-cybernetics,-part-c/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
15.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-acm-transactions-on-networking/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
16.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-journal-of-oceanic-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
17.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/electrical-engineering-in-japan/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
18.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/microwave-journal/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
19.0;['45'];['30'];['100'];;;;;;['0.50'];['12'];https://scirev.org/journal/international-journal-of-engineering-works/;['$50'];['yes'];['150'];['open access'];;;;['Editorial board']
20.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/advanced-science-letters/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
21.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-loss-prevention-in-the-process-industries/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
22.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/hydrocarbon-processing/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
23.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/kerntechnik/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
24.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/engineering-applications-of-computational-fluid-mechanics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
25.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/oil-shale/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
26.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/fuel-cells-bulletin/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
27.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/radioprotection/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
28.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-sustainable-forestry/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
29.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/nuclear-plant-journal/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
30.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-power-and-energy-systems/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
31.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/european-transactions-on-electrical-power/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
32.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/problems-of-atomic-science-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
33.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/atomic-energy/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
34.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/sustainable-development/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
35.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-global-energy-issues/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
36.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/energy-procedia/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
37.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/plasma-devices-and-operations/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
38.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/american-journal-of-comparative-law/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
39.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-natural-gas-chemistry/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
40.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-industry-applications-magazine/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
41.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/spe-drilling-and-completion/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
42.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/combustion-science-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
43.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/membrane-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
44.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-computational-fluid-dynamics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
45.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-transactions-on-sustainable-energy/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
46.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/energy-economics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
47.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/petroleum-chemistry/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
48.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-coal-science-and-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
49.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/nuclear-science-and-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
0.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-sustainable-energy/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
1.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/problemy-ekorozwoju/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
2.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/iet-renewable-power-generation/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
3.0;['59'];['11'];['312'];;;;;;['1.08'];['6'];https://scirev.org/journal/thermal-science/;['$165'];['yes'];['529'];['open access'];;;;['Editorial board']
4.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/mining-science-and-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
5.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-green-energy/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
6.0;['45'];['30'];['100'];;;;;;['0.50'];['12'];https://scirev.org/journal/international-journal-of-engineering-works/;['$50'];['yes'];['150'];['open access'];;;;['Editorial board']
7.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/energy-systems/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
8.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/plasma-physics-and-controlled-fusion/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
9.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-natural-gas-science-and-engineering/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
10.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/ieee-power-and-energy-magazine/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
11.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/spe-journal/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
12.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/combustion-theory-and-modelling/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
13.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/petroleum-exploration-and-development/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
14.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-engineering-thermophysics/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
15.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/fusion-engineering-and-design/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
16.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/chemsuschem/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
17.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-the-energy-institute/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
18.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/energy-and-environment/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
19.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/nuclear-technology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
20.0;['n/a'];['n/a'];['n/a'];2.2;2.0;;3.5;4.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/energy-policy/;['n/a'];['n/a'];['n/a'];['n/a'];3.7 ;3.9;4.9 mnths;['n/a']
